Serialno,ROLL,PITCH,YAW,ODDO1,ODDO1_SPEED,ODDO2,ODDO2_SPEED,VELOCITY,BATTERY_PERCENTAGE,BATTERY_VOLTAGE,TEMP1,TEMP2,filename,F1H1,F1H2,F1H3,F1H4,F1P1,F2H1,F2H2,F2H3,F2H4,F2P2,F3H1,F3H2,F3H3,F3H4,F3P3,F4H1,F4H2,F4H3,F4H4,F4P4,F5H1,F5H2,F5H3,F5H4,F5P1,F6H1,F6H2,F6H3,F6H4,F6P2,F7H1,F7H2,F7H3,F7H4,F7P3,F8H1,F8H2,F8H3,F8H4,F8P4,F9H1,F9H2,F9H3,F9H4,F9P1,F10H1,F10H2,F10H3,F10H4,F10P2,F11H1,F11H2,F11H3,F11H4,F11P3,F12H1,F12H2,F12H3,F12H4,F12P4,F13H1,F13H2,F13H3,F13H4,F13P1,F14H1,F14H2,F14H3,F14H4,F14P2,F15H1,F15H2,F15H3,F15H4,F15P3,F16H1,F16H2,F16H3,F16H4,F16P4,F17H1,F17H2,F17H3,F17H4,F17P1,F18H1,F18H2,F18H3,F18H4,F18P2,F19H1,F19H2,F19H3,F19H4,F19P3,F20H1,F20H2,F20H3,F20H4,F20P4,F21H1,F21H2,F21H3,F21H4,F21P1,F22H1,F22H2,F22H3,F22H4,F22P2,F23H1,F23H2,F23H3,F23H4,F23P3,F24H1,F24H2,F24H3,F24H4,F24P4,runid
2683,36.46,2.09,109.71,0.0,0.01,1,0.01,-0.04,1710579465,0,0,0,12,24095.23616,23384.09278,22145.80137,20531.25323,5045053,17517.42976,18527.57856,19483.54113,20378.33203,5272906,19789.18701,20165.43712,21097.74144,21143.26973,5095102,19910.22297,20782.8608,22589.23921,25546.64677,5195471,17524.59313,16215.27701,15312.51409,17507.91896,5135330,17676.05485,15307.61089,15061.3743,15968.17059,5044230,14497.58395,13398.14361,13934.41507,14177.32861,4976781,11421.53754,12322.26639,11612.65114,16212.662,5071195,15489.91111,15454.52073,14303.94173,14926.10753,5223740,14372.13458,14259.28743,14216.26942,14249.8475,5094177,13692.8438,14564.50627,13739.72877,13702.4008,4978915,9999.855635,9229.767735,7486.7433,7652.543413,5085538,3872.996345,4420.046336,155.4560648,3695.885553,5108616,8614.915861,1745.103558,7594.071355,8741.98137,5147541,8656.837679,10248.08289,11620.48033,14330.28923,0,11266.3668,12158.27285,11208.45762,11704.24207,5019620,19199.67999,18510.86228,17521.04004,16827.65845,5228528,19004.38531,17193.83068,18101.00991,18008.02619,5097710,18662.12026,18922.88631,18931.03858,18568.93534,0,19770.52419,19422.71155,20095.86697,21035.70731,5143474,16626.63611,18678.90708,17558.8728,14925.24636,5143113,18514.84223,19704.84362,20254.91789,22111.59053,5300422,22726.93518,23688.57122,26677.71717,25063.73912,5237064,21256.59947,21901.81431,23061.91427,25314.75089,5188404,0
2684,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,25168.08898,23257.74663,22382.88533,21144.08391,5052711,20818.09676,20819.80188,21520.20085,21910.25123,5288777,21349.66893,20959.08307,22412.12842,22492.95303,5112921,19801.08555,22376.12943,24111.07387,25878.44267,5213093,19229.99089,17450.74636,16872.91184,17829.0342,5138935,18106.79335,16927.12903,15821.74143,16243.42326,5039758,14112.67825,13711.57682,13855.00566,14165.72091,4969239,11803.66631,12915.94973,12552.60241,16266.66191,5066841,15476.62629,15586.02591,15164.27977,15168.70342,5213744,14637.84419,14902.78576,14967.41703,15113.06442,5088606,14638.93894,15337.41838,15093.99668,14797.32541,4975564,11866.19396,11539.61287,10106.3483,10674.43093,5085788,6274.033387,5483.73811,-154.7813804,5524.503152,5093314,9657.305898,2749.255628,8303.6891,9796.455091,5114143,9070.884051,10918.31197,12532.49441,14741.44662,0,12176.40012,12592.02194,12509.13485,13191.35433,5008212,19824.17495,19186.93357,17687.02642,16582.84545,5216257,18955.70726,18250.28374,19371.4686,18369.57755,5082007,18470.94516,19115.13423,19639.68015,19157.99996,0,20893.99654,21426.89499,21728.94106,23162.32509,5131244,18788.90778,20922.0056,20028.57432,17660.04925,5149908,20926.48001,21389.60703,21650.77568,22666.87275,5311882,25917.16164,26019.7402,26965.72301,26957.24417,5247146,24572.50078,25344.14142,26478.09492,27817.40201,5206681,0
2685,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,25952.63059,23417.06183,22664.0052,21591.03505,5059290,22309.68052,22004.27187,22499.77643,22740.43975,5318140,22309.21787,21526.57839,23199.65512,23308.85199,5130787,19868.77738,23368.72277,25079.13089,26190.61738,5226770,20726.1802,18716.94632,18240.42931,18294.33576,5144024,18757.79205,18342.56472,16825.11998,16924.87429,5037520,13981.03067,14123.95649,13997.82344,14312.29679,4964349,12238.14552,13548.68989,13513.51402,16504.11825,5061644,15634.32812,15882.55246,15875.11584,15554.58077,5204408,15002.9521,15549.43352,15641.99447,15882.62827,5086145,15433.95751,16002.61395,16146.79253,15715.43329,4979614,13413.86206,13425.70439,12400.1393,13194.20134,5089214,8480.787356,6794.227744,-309.9997317,7225.103364,5080150,10926.22774,3684.463833,9386.113177,11031.61909,5098484,9749.530137,11672.8524,13430.22034,15212.81521,0,12953.07039,13066.40109,13606.26169,14490.32703,4998646,20357.37164,19759.40237,17845.68361,16481.67796,5206681,18846.11226,18858.91866,19993.16106,18640.60514,5067418,18535.09578,19372.80957,20172.66182,19671.72165,0,21703.03771,22583.10137,22580.64188,24160.30035,5115679,20095.27995,22061.85279,21458.58685,19383.27653,5157963,22280.56175,22448.32535,22550.78437,23141.17206,5329053,26796.53731,26078.04394,25563.68649,26798.96958,5254279,26318.13567,26655.55475,27635.56958,28191.66383,5222351,0
2686,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,26417.08386,23732.10964,22909.93951,21842.5614,5070620,22252.64384,22205.18372,22541.39558,22915.81574,5330120,22690.98014,21840.21846,23478.92924,23612.05299,5149454,20022.57725,23793.13216,25517.20266,26421.67946,5235301,22007.7557,19955.82273,19418.05283,18857.45373,5148999,19533.88318,19550.25128,17973.35824,17891.12688,5041052,14062.82773,14611.99028,14321.81638,14586.63983,4960036,12706.54858,14202.41186,14474.29334,16889.92419,5059066,15930.65841,16305.59183,16453.53754,16043.13755,5200348,15441.47655,16187.05124,16241.01657,16559.13159,5087535,16090.9215,16565.97395,16934.05259,16470.32977,4980754,14672.17105,14929.2028,14382.82109,15255.59937,5084825,10488.3465,8281.616805,-332.1469526,8789.584514,5070949,12360.87548,4545.107387,10759.38508,12400.40073,5086859,10636.31831,12484.59286,14300.83813,15724.88649,0,13607.38555,13563.81792,14518.42625,15607.33378,4988775,20791.91073,20214.32462,17984.30122,16489.0948,5191462,18628.25707,19044.35739,20014.9362,18763.1287,5060842,18734.72835,19618.02546,20475.44062,20037.84716,0,22153.74886,22947.00429,22698.38686,24144.62607,5112966,20586.13397,22197.29014,21925.28721,20158.26643,5170640,22677.713,22903.28667,22951.13665,23451.99035,5345381,25730.19127,24250.51874,22789.71896,24939.00822,5259813,26677.95763,26153.48716,26883.89167,26784.17726,5231478,0
2687,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,26529.67163,24072.96134,23041.46681,21869.11773,5081187,20907.4495,21546.73264,21764.18599,22483.2974,5337616,22518.10203,21872.29864,23268.55852,23423.64236,5161858,20171.76394,23681.84891,25449.08153,26510.13747,5240526,23069.31205,21109.32142,20408.76869,19472.01822,5151984,20339.89893,20546.52207,19168.30452,19020.78423,5045053,14318.25599,15152.38584,14785.93245,14958.33363,4959954,13190.4489,14859.04059,15413.84775,17388.97291,5055760,16333.25893,16816.6355,16916.63249,16593.77169,5196170,15927.43576,16803.45944,16765.49819,17143.16689,5094744,16622.85292,17033.37936,17491.71314,17075.62019,4985149,15670.432,16091.26862,16069.09842,16902.36977,5082506,12291.79907,9876.006858,-243.1710067,10209.84493,5068620,13900.4432,5325.565509,12341.54631,13855.72739,5078120,11674.79094,13326.42198,15131.52779,16258.15191,0,14150.35351,14066.68006,15264.21667,16548.54817,4979963,21120.43288,20537.75627,18090.16886,16570.03477,5173544,18254.79843,18831.22186,19485.64297,18679.16798,5053293,18949.99912,19772.89504,20493.47357,20184.12323,0,22202.23121,22574.27733,22129.59343,23230.29522,5117834,20301.85118,21427.15916,21505.05221,20048.35718,5184764,22218.55934,22776.77908,22848.02521,23516.82951,5359764,23083.25261,20924.20094,18961.93177,21727.45298,5261709,25836.42016,24155.37154,24572.61461,23941.58319,5242806,0
2688,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,26258.61677,24309.68821,22979.36563,21641.15879,5087573,18534.56031,20153.11382,20287.27538,21489.80289,5335314,21813.72986,21595.11433,22587.15068,22764.70648,5167203,20225.61624,23067.36437,24898.55986,26394.49996,5240893,23905.44392,22119.38822,21215.56322,20091.65934,5157148,21080.6715,21327.71043,20311.8071,20192.44955,5046230,14707.50196,15721.85082,15349.11964,15396.96178,4959954,13671.4199,15500.50106,16311.08461,17966.15757,5053662,16809.77147,17377.17492,17281.48832,17165.88114,5196284,16434.84796,17386.47864,17216.45415,17635.32667,5102270,17042.77378,17410.71117,17855.71047,17544.9099,5005715,16437.95604,16953.06239,17473.67606,18178.25726,5088394,13886.2333,11507.49947,-65.01985738,11477.78293,5076400,15484.12499,6020.217414,14050.63837,15350.52644,5077299,12808.49041,14171.22843,15909.46932,16793.10296,0,14592.98222,14557.39515,15862.22105,17320.14378,4972771,21335.57877,20715.75327,18150.57614,16689.43667,5157148,17678.39309,18244.134,18454.13029,18330.74272,5057292,19061.06435,19759.53146,20172.2177,20038.29661,0,21804.58592,21520.59408,20921.67901,21532.30074,5124441,19282.81293,19850.30135,20274.25869,19116.88704,5199253,21003.72633,22091.09066,22237.64274,23253.19143,5373933,19220.85041,16486.12684,14398.4363,17514.39673,5263186,23977.97675,20978.64076,21051.29181,20010.52254,5249132,0
2689,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,25572.14213,24312.36152,22644.4145,21129.13932,5093777,15394.43904,18148.52245,18229.79145,19982.25039,5319691,20601.00994,20980.9609,21453.31343,21656.33167,5166840,20093.41294,21982.16986,23889.43002,26013.27549,5240526,24510.74595,22927.96899,21841.42272,20670.00719,5163940,21661.03311,21890.14969,21305.71428,21284.72602,5049053,15190.7522,16297.09287,15970.3259,15872.10788,4968062,14131.03498,16108.71823,17144.9113,18586.37134,5052597,17327.83781,17948.70155,17565.19263,17718.86387,5196534,16937.73139,17923.92936,17594.89931,18036.20347,5108054,17363.70608,17703.85035,18061.98086,17891.80422,5016329,17004.05424,17555.74461,18611.25877,19127.00659,5093567,15266.73745,13106.19621,180.3585318,12585.29686,5073303,17051.11493,6623.442319,15804.70274,16837.72526,5067663,13980.95909,14991.90084,16621.84274,17310.23111,0,14946.27961,15018.37082,16331.02753,17928.29421,4977920,21429.98906,20734.37157,18152.81267,16812.23931,5145374,16851.6978,17307.71575,16969.24709,17659.87267,5062821,18948.08028,19500.04783,19457.13004,19528.11405,0,20916.9142,19841.62812,19122.06102,19165.63562,5133792,17569.40057,17565.55822,18309.28347,17427.19422,5211881,19133.83955,20868.50951,21116.18192,22578.578,5384058,14508.11374,11323.33278,9417.34388,12649.93237,5265772,21287.0809,16940.72772,16669.4767,15337.63619,5252745,0
2690,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,24438.47057,23951.05253,21957.39196,20303.51409,5094744,11747.54851,15657.15374,15710.86189,18007.55808,5312628,18903.08856,20002.13373,19885.65449,20119.60431,5167655,19684.43283,20458.75672,22445.48437,25304.97262,5239349,24879.81281,23477.00955,22289.33351,21160.69187,5169463,21985.81595,22230.17321,22051.87435,22176.21684,5052116,15728.19322,16854.81964,16608.49921,16353.35552,4975214,14550.86756,16665.61708,17894.23519,19214.5074,5054598,17855.09974,18492.70687,17784.83305,18212.11782,5201361,17410.10428,18403.63212,17901.84851,18346.38979,5112865,17598.67181,17918.67787,18146.46059,18129.9085,5021983,17398.03771,17940.47581,19496.55133,19792.36248,5096532,16428.39976,14602.19865,471.0161973,13524.28503,5079902,18540.60711,7129.619441,17521.78093,18270.25122,5064353,15135.73935,15761.32789,17255.82805,17790.02782,0,15221.25361,15432.01471,16689.22423,18379.17306,4983972,21396.30441,20579.66711,18084.16805,16903.38149,5133309,15727.36931,16046.58903,15079.84231,16608.57757,5069882,18491.20315,18916.55731,18293.66761,18581.32229,0,19495.31723,17593.05305,16778.1569,16245.2928,5146096,15201.99546,14671.77128,15686.50336,15042.61697,5227580,16709.52457,19131.3237,19479.83544,21410.4911,5389565,9310.171697,5822.855064,4336.765887,7484.152766,5266855,17948.18609,12359.06528,11776.72268,10269.56505,5255754,0
2691,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,22434.60439,22472.58457,20249.67875,19018.2246,5093924,8371.92702,12859.79429,12880.59265,15470.83354,5308172,16512.16082,18447.38278,17755.63974,18092.59588,5166747,18414.1063,18416.27919,20387.32889,23770.20975,5235593,25528.06687,23276.49181,23094.12488,21432.81156,5175172,21834.98417,22709.89091,22222.43925,22485.66773,5053420,16199.83265,17296.10845,17134.21176,16746.37055,4982317,14924.95733,17142.89019,18588.48864,19853.13762,5055550,18901.58247,18873.0301,18282.62564,18558.99452,5208143,18028.12319,19081.31868,18180.7403,18600.13169,5123461,17839.06319,18131.38971,18236.66293,18556.4419,5034224,17506.94017,18134.26154,20257.66151,20255.11938,5111384,17425.5957,15799.31853,745.4799334,14184.21836,5086608,19861.01935,7520.005952,18960.35234,19438.90457,5060374,16109.8824,16408.20755,17756.39087,18187.55671,0,15479.19026,15764.58845,16983.68314,18696.38474,4993036,21258.13083,19968.52439,18072.21641,16804.74967,5123721,14212.73052,14893.27242,12773.6245,14829.15076,5074125,17024.77314,17874.03156,16210.84817,16846.49694,0,16987.21683,14517.70091,13686.21552,12862.44348,5156608,11986.66294,11028.67717,12343.41634,11738.67106,5230807,13874.19417,16869.73491,17121.83939,19096.66969,5393138,4626.157979,1057.385547,-30.75307003,2930.560989,5273646,14268.51,8139.597707,7432.726434,5752.204281,5258407,0
2692,36.91,1.44,108.97,0.0,0.01,1,0.01,0.0,1710579465,0,0,0,12,20143.10293,20233.92213,18263.74816,17349.43123,5096532,4806.928365,9700.488922,9816.104299,12465.88914,5308917,13648.7097,16279.39018,15058.80799,15482.46362,5163760,16855.24612,15898.02701,17954.83888,21920.64366,5229996,25492.7474,23468.03162,23206.22327,21798.20604,5178429,20924.99407,22633.28371,22058.46722,21999.52603,5059178,16656.61638,17772.63469,17811.02794,17271.65217,4989729,15174.58591,17714.69642,19106.21596,20300.24475,5058356,19399.88998,19631.91979,18488.38961,19051.1235,5212201,18356.12614,19447.64889,18655.04113,18669.82217,5134152,18609.84166,18146.40505,18177.93625,18670.66378,5049876,17865.01778,18352.71405,20536.89575,20569.96118,5122184,17963.87317,16694.1162,1037.9957,14774.10834,5095564,20883.57804,7693.631464,20298.134,20627.86488,5059066,16976.9957,17013.63743,18196.65739,18605.07074,0,15604.25588,15969.54509,17384.95635,18940.4542,4998920,20850.99816,19587.49791,17751.70913,16687.81965,5113784,11914.91352,12935.38677,10309.87745,12285.71443,5074481,15139.0141,15933.95077,13590.87307,14232.46999,0,13933.27055,11177.44945,10100.54957,8991.169319,5168744,8048.021531,7024.81146,8354.615067,7856.591072,5232655,10638.46693,13834.00619,14019.0837,15972.39206,5386282,70.1912959,-3377.724839,-3880.352555,-1278.52212,5276942,10314.41461,3871.822735,3042.495641,1413.728906,5262886,0
