Box Number,Type,Width,Height,x0,y0,x1,y1,StartS,EndS,Absolute Distance,Peak Value,Avg_Val,Ori Val,Breadth
30,Metal_Loss,39.492657000000236,4.0,3791.014686,91.5,3830.507343,95.5,92,96,3810.7610145,0.0,0.0,,21.574643202432625
31,Metal_Loss,17.4857149999998,4.0,5473.405714,91.5,5490.891429,95.5,92,96,5482.1485715,0.0,0.0,,21.574643202432625
29,Metal_Loss,39.63428599999952,5.0,5847.6,90.5,5887.234286,95.5,91,96,5867.417143000001,0.0,0.0,,25.561812972028633
28,Metal_Loss,12.843242999999347,9.0,4194.583784,76.5,4207.427027,85.5,77,86,4201.0054055,0.0,0.0,,47.13645617446126
27,Metal_Loss,11.65714299999945,3.0,5405.794286,70.5,5417.451429,73.5,71,74,5411.6228575000005,0.0,0.0,,17.587473432836617
14,Metal_Gain,11.61548700000003,1.0,3039.492657,62.5,3051.108144,63.5,63,64,3045.3004005,0.0,0.0,,3.9871697695960058
26,Metal_Loss,34.97142800000074,1.0,5846.434286,62.5,5881.405714,63.5,63,64,5863.92,0.0,0.0,,3.9871697695960058
25,Metal_Loss,10.491428000000269,1.0,5859.257143,59.5,5869.748571,60.5,60,61,5864.5028569999995,0.0,0.0,,9.613133893644608
24,Metal_Loss,22.183783999999832,1.0,4255.297297,57.5,4277.481081,58.5,58,59,4266.3891889999995,0.0,0.0,,3.9871697695960058
13,Metal_Gain,47.794286000000284,38.0,5922.205714,57.5,5970.0,95.5,58,96,5946.102857,0.0,0.0,,202.14612836108563
23,Metal_Loss,37.33806999999979,39.0,4927.816216,56.5,4965.154286,95.5,57,96,4946.485251,0.0,0.0,,206.13329813068162
12,Metal_Gain,6.9692919999997684,1.0,3042.977303,55.5,3049.946595,56.5,56,57,3046.461949,0.0,0.0,,9.613133893644608
22,Metal_Loss,16.345945999999458,1.0,4257.632432,55.5,4273.978378,56.5,56,57,4265.805405,0.0,0.0,,9.613133893644608
11,Metal_Gain,26.715620999999828,1.0,3032.523364,53.5,3059.238985,54.5,54,55,3045.8811745000003,0.0,0.0,,3.9871697695960058
10,Metal_Gain,41.965713999999934,5.0,5928.034286,51.5,5970.0,56.5,52,57,5949.017143,0.0,0.0,,31.187777096077234
9,Metal_Gain,29.03871799999979,2.0,3031.361816,50.5,3060.400534,52.5,51,53,3045.881175,0.0,0.0,,13.600303663240613
8,Metal_Gain,8.159999999999854,1.0,5933.862857,49.5,5942.022857,50.5,50,51,5937.942857,0.0,0.0,,3.9871697695960058
20,Metal_Loss,16.32000000000062,4.0,5276.4,46.5,5292.72,50.5,47,51,5284.5599999999995,0.0,0.0,,21.574643202432625
21,Metal_Loss,32.63999999999942,4.0,5439.6,46.5,5472.24,50.5,47,51,5455.92,0.0,0.0,,21.574643202432625
19,Metal_Loss,23.35135200000059,10.0,4252.962162,44.5,4276.313514,54.5,45,55,4264.637838000001,0.0,0.0,,51.12362594405727
18,Metal_Loss,10.508107999999993,1.0,4259.967568,42.5,4270.475676,43.5,43,44,4265.221622,0.0,0.0,,3.9871697695960058
16,Metal_Loss,13.988570999999865,2.0,5740.354286,41.5,5754.342857,43.5,42,44,5747.3485715,0.0,0.0,,7.9743395391920116
17,Metal_Loss,40.79999999999927,2.0,5847.6,41.5,5888.4,43.5,42,44,5868.0,0.0,0.0,,7.9743395391920116
6,Metal_Gain,20.9078770000001,10.0,3034.846462,38.5,3055.754339,48.5,39,49,3045.3004005000003,0.0,0.0,,56.74959006810587
7,Metal_Gain,40.80000000000018,9.0,5929.2,38.5,5970.0,47.5,39,48,5949.6,0.0,0.0,,47.13645617446126
5,Metal_Gain,17.423231000000214,1.0,3036.008011,34.5,3053.431242,35.5,35,36,3044.7196265000002,0.0,0.0,,3.9871697695960058
4,Metal_Gain,6.9692919999997684,1.0,3040.654206,32.5,3047.623498,33.5,33,34,3044.138852,0.0,0.0,,3.9871697695960058
3,Metal_Gain,9.29238899999973,1.0,3040.654206,30.5,3049.946595,31.5,31,32,3045.3004005000003,0.0,0.0,,3.9871697695960058
15,Metal_Loss,51.29142899999988,1.0,5823.12,28.5,5874.411429,29.5,29,30,5848.765714499999,0.0,0.0,,3.9871697695960058
14,Metal_Loss,108.41142799999943,6.0,5792.811429,21.5,5901.222857,27.5,22,28,5847.017143,0.0,0.0,,29.548982741624634
13,Metal_Loss,27.877169000000322,7.0,3599.359146,20.5,3627.236315,27.5,21,28,3613.2977305,0.0,0.0,,33.53615251122064
10,Metal_Loss,36.00801100000035,7.0,3324.072096,11.5,3360.080107,18.5,12,19,3342.0761015,0.0,0.0,,39.16211663526924
11,Metal_Loss,6.969293000000107,1.0,3371.695594,11.5,3378.664887,12.5,12,13,3375.1802405,0.0,0.0,,9.613133893644608
12,Metal_Loss,15.178377999999611,1.0,4112.854054,11.5,4128.032432,12.5,12,13,4120.443243,0.0,0.0,,9.613133893644608
9,Metal_Loss,3.5027030000001105,1.0,4115.189189,8.5,4118.691892,9.5,9,10,4116.9405405,0.0,0.0,,3.9871697695960058
8,Metal_Loss,57.11999999999989,2.0,5848.765714,7.5,5905.885714,9.5,8,10,5877.3257140000005,0.0,0.0,,13.600303663240613
7,Metal_Loss,155.6475300000002,17.0,3380.987984,3.5,3536.635514,20.5,4,21,3458.811749,0.0,0.0,,95.9117067033751
2,Metal_Gain,2.3230979999998453,1.0,3162.616822,2.5,3164.93992,3.5,3,4,3163.778371,0.0,0.0,,3.9871697695960058
1,Metal_Loss,32.29958799999986,96.0,2996.73913,-0.5,3029.038718,95.5,0,96,3012.888924,0.0,0.0,,517.791436858383
2,Metal_Loss,33.68491300000005,4.0,3795.660881,-0.5,3829.345794,3.5,0,4,3812.5033375,0.0,0.0,,21.574643202432625
3,Metal_Loss,66.38282299999992,96.0,3837.476636,-0.5,3903.859459,95.5,0,96,3870.6680475,0.0,0.0,,517.791436858383
4,Metal_Loss,37.34177600000021,56.0,4925.481081,-0.5,4962.822857,55.5,0,56,4944.1519690000005,0.0,0.0,,302.0450048340568
5,Metal_Loss,15.154285999999956,5.0,5473.405714,-0.5,5488.56,4.5,0,5,5480.982857000001,0.0,0.0,,31.187777096077234
1,Metal_Gain,46.62857100000019,36.0,5923.371429,-0.5,5970.0,35.5,0,36,5946.685714499999,0.0,0.0,,194.1717888218936
6,Metal_Loss,16.31999999999971,96.0,5953.68,-0.5,5970.0,95.5,0,96,5961.84,0.0,0.0,,517.791436858383
