index,ODDO1,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30
3675169,1575340.324623,-0.6255978885084357,-2.45101243698919,-2.1801527918696766,-2.2448626637642635,-1.0620617946359465,-1.2588549421688204,-0.6761538303048971,0.2832909244909172,-0.5106722937495572,-0.07827062851291453,-0.478624385775883,-0.16808360724298316,-0.4443238920099966,-12.13398955204633,-1.4444324731172444,-1.1864249223679633,-2.5160153228675552,-3.5560146998221116,-3.1140137501599585,-0.9079411041544497,-1.046032687484507,-0.2560466898368949,-0.19787865500391272,0.0
3675170,1575340.768464,-0.6729596788524396,-2.3960566935673175,-2.061678106241836,-2.2448626637642635,-1.0620617946359465,-1.2588549421688204,-0.6761538303048971,0.15359910381562572,-0.4804531901560963,-0.10175363511691618,-0.4890789318241799,-0.19623188452468557,-0.4515695972008927,-12.283685813883475,-1.3584050611433118,-1.3034609140885616,-2.5160153228675552,-3.7169740361691663,-3.2212113040599517,-1.2529685383197213,-1.075072607125314,-0.2560466898368949,-0.19787865500391272,0.0
3675171,1575341.212304,-0.7231901536496905,-2.3960566935673175,-2.061678106241836,-2.1899561180805915,-1.124288600659363,-1.6435940697874514,-0.7433388118564094,0.15941934495605803,-0.5199750374047992,-0.10175363511691618,-0.5135421538894789,-0.22066325278847776,-0.38143033571322743,-12.226228226006716,-1.3584050611433118,-1.3034609140885616,-2.6549476918679074,-3.764274902693656,-3.3420297006560227,-1.4461596670567614,-1.075072607125314,-0.28691512446193024,-0.23864341307930914,0.0
3675172,1575341.656145,-0.7231901536496905,-2.2795644942474103,-1.9707332012340582,-2.1896045286738657,-1.15654782304544,-2.285264125929163,-0.7572642829666174,0.15941934495605803,-0.5199750374047992,-0.07827062851291453,-0.49957504664404057,-0.1996564523838838,-0.39565029316279576,-12.226228226006716,-1.3584050611433118,-1.3034609140885616,-2.6549476918679074,-3.764274902693656,-3.3420297006560227,-1.4461596670567614,-1.1313503570174537,-0.30112984806086623,-0.29580064773996423,0.0
3675173,1575342.099986,-0.7738005866526695,-2.2521545649956676,-1.9227787106976653,-2.1896045286738657,-1.15654782304544,-2.285264125929163,-0.7572642829666174,0.3256025459394548,-0.4571074513015401,-0.10877659036297273,-0.5451552046637523,-0.14348518688849837,-0.3884045879718997,-12.164817054483997,-1.281700910128524,-1.7101294718981634,-2.7888355604377253,-3.857607449496285,-3.3806474529926662,-1.798242437334736,-1.0889449410713752,-0.34457431160721225,-0.29580064773996423,0.0
3675174,1575342.543826,-0.8100865952997003,-2.2521545649956676,-1.9227787106976653,-2.1439565040339716,-1.2511709580467385,-2.66247457982828,-0.7711897540768253,0.2185407418036075,-0.3362112858795958,-0.10877659036297273,-0.5485846283177662,-0.15751756250667645,-0.3708227903617139,-12.15248605350893,-1.281700910128524,-1.7101294718981634,-2.8459180653095597,-3.9914781838689612,-3.4811297031612134,-2.002788553001085,-1.0889449410713752,-0.34457431160721225,-0.23749537510950341,0.0
3675175,1575342.987667,-0.8100865952997003,-2.405219219492829,-2.144134820115555,-2.1278224568142234,-1.2857022325255814,-2.7455489133840763,-0.7897833109764522,0.2185407418036075,-0.3362112858795958,-0.24965467840957906,-0.6149283877335985,-0.1750789135407356,-0.33202590204850096,-12.15248605350893,-1.2262719489292284,-2.054663262935139,-2.94771835971222,-3.9914781838689612,-3.4811297031612134,-2.002788553001085,-1.0819993882161079,-0.3571122313499735,-0.2456445626656653,0.0
3675176,1575343.431507,-0.8280016246997788,-2.6018446963985684,-2.350087136247751,-2.1278224568142234,-1.2857022325255814,-2.7455489133840763,-0.7897833109764522,-0.22979013578028679,-0.4084013666861971,-0.29263037613686843,-0.6325535468766517,-0.12235309741588496,-0.32843437094523265,-12.119655634246216,-1.2123910695296094,-2.3217225242415784,-2.94771835971222,-4.0520960344409955,-3.664915961941664,-2.0675960171277445,-1.0681270542700467,-0.3571122313499735,-0.2456445626656653,0.0
3675177,1575343.875348,-0.9164938908138465,-2.6018446963985684,-2.350087136247751,-2.3964953617871534,-1.2165221636320631,-2.803109408223743,-0.9126701769687964,-0.37209886076987064,-0.4547965786738049,-0.29263037613686843,-0.5695352891859238,-0.09779644008407332,-0.2898671735746706,-12.119655634246216,-1.2123910695296094,-2.3217225242415784,-3.0022217215067895,-4.123227293471617,-3.7160702161452273,-2.113309122855204,-1.0681270542700467,-0.34312616282233405,-0.2526457122520215,0.0
3675178,1575344.319188,-0.9164938908138465,-3.131931763025582,-2.799525488683063,-3.0129097227566715,-1.1196073898820271,-2.8197202915096535,-0.9311849476103742,-0.37209886076987064,-0.4547965786738049,-0.28762253020857237,-0.5591015275234088,-0.1259238358544392,-0.2828720403212119,-12.119655634246216,-1.2554709649960016,-2.5180171900569714,-2.957560824837962,-4.123227293471617,-3.7160702161452273,-2.113309122855204,-1.0346757699779212,-0.31368682239290224,-0.29580064773996423,0.0
